Date,Open,High,Low,Close,Volume
20060906,0.17801673,0.19778049,0.17460371,0.1926054,0
20060907,0.19462147,0.20667022,0.18577937,0.19563743,0
20060908,0.19251016,0.19695502,0.18662071,0.19038297,0
20060911,0.20074903,0.20201899,0.185573,0.1904306,0
20060912,0.19344675,0.19344675,0.17479421,0.17981055,0
20060913,0.18192186,0.18711282,0.17368299,0.17636578,0
20060914,0.17436559,0.1799693,0.16963499,0.17239716,0
20060915,0.16823803,0.17546094,0.16136437,0.17149231,0
20060918,0.17749287,0.18441416,0.16911113,0.17811198,0
20060919,0.1733655,0.19319276,0.1733655,0.17509582,0
20060920,0.17028585,0.17593717,0.16133262,0.16853965,0
20060921,0.1661426,0.18114401,0.15974517,0.17427035,0
20060922,0.17657215,0.18268384,0.17127007,0.17642928,0
20060925,0.17998517,0.18481102,0.1638408,0.16787292,0
20060926,0.17039697,0.17812785,0.16441228,0.16900001,0
20060927,0.1686984,0.17341312,0.16374555,0.16734906,0
20060928,0.16955562,0.17354012,0.16174536,0.16244384,0
20060929,0.16480914,0.16974611,0.16172949,0.16876189,0
20061002,0.17911207,0.18838278,0.16988898,0.18322357,0
20061003,0.18585874,0.19135132,0.17792148,0.18671596,0
20061004,0.18501739,0.19011311,0.17044459,0.17350837,0
20061005,0.17595305,0.17881046,0.16433291,0.16825391,0
20061006,0.16922225,0.17355599,0.1635868,0.16547587,0
20061009,0.1759213,0.17641341,0.16417416,0.16814279,0
20061010,0.16939687,0.17615941,0.16485676,0.17171455,0
20061011,0.17698489,0.18101701,0.16631722,0.17157168,0
20061012,0.16885714,0.17311151,0.16063415,0.16155487,0
20061013,0.16163424,0.16625372,0.15376048,0.16020553,0
20061016,0.16957149,0.17022235,0.16150724,0.16680933,0
20061017,0.1751117,0.18258859,0.16517425,0.17373061,0
20061018,0.16803167,0.17942956,0.16422178,0.16790467,0
20061019,0.17084145,0.17396873,0.15444309,0.15899907,0
20061020,0.15763386,0.1637138,0.14809328,0.15315725,0
20061023,0.15806247,0.16395192,0.14968073,0.1587927,0
20061024,0.16123738,0.16703157,0.15747512,0.16098338,0
20061025,0.16334869,0.16680933,0.1539351,0.16084051,0
20061026,0.1587292,0.1661426,0.15099832,0.15528444,0
20061027,0.15752274,0.16757131,0.15550668,0.16441228,0
20061030,0.17160343,0.17474658,0.16374555,0.16734906,0
20061031,0.16577749,0.17184155,0.15974517,0.16306294,0
20061101,0.16184061,0.17258765,0.16101513,0.17057159,0
20061102,0.17247653,0.17533394,0.16698395,0.16803167,0
20061103,0.1701906,0.17303214,0.16058652,0.1629042,0
20061106,0.16760305,0.17142881,0.15672902,0.16325344,0
20061107,0.16460277,0.16973024,0.15639565,0.16809516,0
20061108,0.17095258,0.17471483,0.15407797,0.15763386,0
20061109,0.15801485,0.16363443,0.15228415,0.16117388,0
20061110,0.16142787,0.16995248,0.15139518,0.15264927,0
20061113,0.15845934,0.16138025,0.14591848,0.15214128,0
20061114,0.15220478,0.16107863,0.14125137,0.14415641,0
20061115,0.14526762,0.15112531,0.13901307,0.14201335,0
20061116,0.1452835,0.15133168,0.13669539,0.14442627,0
20061117,0.14250546,0.153316,0.14021953,0.14163236,0
20061120,0.15098244,0.15356999,0.13790185,0.14231496,0
20061121,0.14101325,0.14556924,0.1361874,0.14087038,0
20061122,0.13934643,0.14526762,0.13801297,0.14237846,0
20061124,0.14917275,0.15122056,0.14020365,0.14714081,0
20061127,0.1499506,0.17150818,0.1485219,0.16517425,0
20061128,0.16976199,0.17412748,0.15515744,0.15698301,0
20061129,0.15869746,0.16549174,0.14991885,0.15601466,0
20061130,0.15926894,0.16753956,0.14572798,0.1540621,0
20061201,0.15677664,0.1717463,0.15064908,0.15939593,0
20061204,0.15703063,0.16550762,0.14749005,0.15837996,0
20061205,0.15882445,0.16998423,0.14199747,0.15698301,0
20061206,0.15795135,0.1700001,0.14595023,0.15234765,0
20061207,0.16268196,0.17730238,0.14268008,0.16768243,0
20061208,0.16807929,0.17627054,0.15539556,0.16395192,0
20061211,0.17165105,0.17398461,0.15439546,0.16063415,0
20061212,0.1589197,0.1662061,0.15528444,0.15726875,0
20061213,0.15495107,0.16155487,0.15009347,0.15452246,0
20061214,0.15096657,0.15458596,0.14133074,0.14348968,0
20061215,0.13752086,0.14734718,0.13752086,0.14606135,0
20061218,0.14820441,0.15639565,0.1442199,0.1533795,0
20061219,0.16012616,0.16555524,0.14993473,0.15398273,0
20061220,0.15441134,0.15595117,0.14488663,0.15255402,0
20061221,0.15288739,0.16252321,0.14636296,0.15485582,0
20061222,0.15711,0.16588861,0.15391923,0.16217397,0
20061226,0.17454021,0.17488945,0.16399954,0.16593623,0
20061227,0.16685695,0.1676983,0.15564955,0.15833234,0
20061228,0.15847521,0.16280895,0.15183967,0.15593529,0
20061229,0.1556178,0.15795135,0.14637884,0.15428434,0
20070103,0.16252321,0.17874696,0.15417322,0.16833328,0
20070104,0.16777767,0.17274639,0.15753862,0.16206285,0
20070105,0.16541237,0.17744525,0.16099926,0.17115894,0
20070108,0.17549268,0.1846364,0.1724289,0.17525457,0
20070109,0.17646103,0.18049315,0.1669522,0.17015885,0
20070110,0.17431797,0.17846122,0.16430116,0.16663471,0
20070111,0.16825391,0.16914288,0.15645915,0.16326931,0
20070112,0.16357093,0.16973024,0.15039509,0.16163424,0
20070116,0.16819041,0.17428622,0.16095164,0.16603148,0
20070117,0.16815866,0.17219079,0.1587292,0.16515838,0
20070118,0.165333,0.17392111,0.16165011,0.16836503,0
20070119,0.17133356,0.17177805,0.15563368,0.16084051,0
20070122,0.16519013,0.17400048,0.16333281,0.1668887,0
20070123,0.16976199,0.17325438,0.15961818,0.16731731,0
20070124,0.16318994,0.16714269,0.15691951,0.15849109,0
20070125,0.15750687,0.1749847,0.15588767,0.17014298,0
20070126,0.16747606,0.17471483,0.16293595,0.16560287,0
20070129,0.17547681,0.17788974,0.16841265,0.17403223,0
20070130,0.17285752,0.17682614,0.16968261,0.17201617,0
20070131,0.17546094,0.17841359,0.15987217,0.16253909,0
20070201,0.16099926,0.16993661,0.15801485,0.1645234,0
20070202,0.16549174,0.16676171,0.15444309,0.15737987,0
20070205,0.16244384,0.16588861,0.15733225,0.16099926,0
20070206,0.16150724,0.1676983,0.15641153,0.16158662,0
20070207,0.15715763,0.16206285,0.15079195,0.15514157,0
20070208,0.16098338,0.16230097,0.15239528,0.15698301,0
20070209,0.15366524,0.17115894,0.14729956,0.16450753,0
20070212,0.16934925,0.17392111,0.16534887,0.16703157,0
20070213,0.16638072,0.16677758,0.15264927,0.15463358,0
20070214,0.149141,0.15455421,0.14188635,0.14952199,0
20070215,0.14942674,0.15495107,0.14433103,0.1468392,0
20070216,0.14622009,0.14958549,0.13739387,0.13848921,0
20070220,0.15047446,0.15298263,0.14339443,0.14742655,0
20070221,0.15207779,0.15299851,0.14555336,0.14680745,0
20070222,0.14483901,0.15258577,0.1427277,0.14504538,0
20070223,0.14726781,0.15085545,0.14331506,0.14612484,0
20070226,0.14947437,0.15820535,0.14591848,0.15363349,0
20070227,0.16592036,0.22481478,0.16033253,0.21140082,0
20070228,0.21105158,0.21105158,0.18020741,0.19246253,0
20070301,0.21819511,0.24268948,0.19328801,0.20062203,0
20070302,0.20733695,0.22687847,0.19419285,0.21976669,0
20070305,0.23449823,0.24143539,0.21584568,0.22408455,0
20070306,0.21494084,0.21595681,0.19028773,0.19676453,0
20070307,0.19619304,0.20395568,0.18803355,0.19458972,0
20070308,0.18522376,0.19000198,0.17555618,0.18758906,0
20070309,0.17749287,0.18676359,0.17350837,0.17874696,0
20070312,0.18498564,0.1862556,0.17254003,0.1749212,0
20070313,0.18235047,0.20363819,0.17641341,0.20103477,0
20070314,0.20330482,0.21478209,0.18031853,0.18504914,0
20070315,0.18677946,0.18831929,0.17227016,0.1759213,0
20070316,0.17476246,0.18523963,0.16995248,0.18066777,0
